start_time,date,nul,nup,nupl,close,change
2021-11-21,2021-11-21,0.00724757,0.59295224,0.58553336,58661.39,-0.0176651965485464
2021-11-22,2021-11-22,0.01252204,0.58381948,0.56822887,56268.31,-0.0407948055782517
2021-11-23,2021-11-23,0.00886711,0.58812311,0.57770278,57574.23,0.0232088008330089
2021-11-24,2021-11-24,0.00974535,0.5849362,0.57449226,57165.08,-0.0071064780197668
2021-11-25,2021-11-25,0.0059485,0.58988509,0.58470265,58988.21,0.0318923720565071
2021-11-26,2021-11-26,0.02165685,0.5633318,0.54521675,53755.65,-0.0887051836290675
2021-11-27,2021-11-27,0.0171612,0.56858028,0.55351513,54738.77,0.0182886822129393
2021-11-28,2021-11-28,0.00921178,0.57979885,0.57327828,57315.73,0.0470774188020668
2021-11-29,2021-11-29,0.00759898,0.58432892,0.57604731,57827.98,0.0089373370975123
2021-11-30,2021-11-30,0.00864271,0.58435548,0.56950652,56975.0,-0.0147502990766753
2021-12-01,2021-12-01,0.00893745,0.57898977,0.5705032,57209.29,0.0041121544537077
2021-12-02,2021-12-02,0.01074339,0.57465494,0.56517158,56513.57,-0.0121609619696381
2021-12-03,2021-12-03,0.02105736,0.56236924,0.54208739,53612.0,-0.0513428898581349
