start_time,datetime,open_interest
2022-08-29 04:00:00,2022-08-29 04:00:00,1713721445.69038
2022-08-29 05:00:00,2022-08-29 05:00:00,1709538728.3914
2022-08-29 06:00:00,2022-08-29 06:00:00,1720887404.46788
2022-08-29 07:00:00,2022-08-29 07:00:00,1722353216.74279
2022-08-29 08:00:00,2022-08-29 08:00:00,1730663777.8583
2022-08-29 09:00:00,2022-08-29 09:00:00,1739825089.52066
2022-08-29 10:00:00,2022-08-29 10:00:00,1747355666.36085
2022-08-29 11:00:00,2022-08-29 11:00:00,1749245934.70176
2022-08-29 12:00:00,2022-08-29 12:00:00,1736333206.72072
2022-08-29 13:00:00,2022-08-29 13:00:00,1778822801.17162
2022-08-29 14:00:00,2022-08-29 14:00:00,1804333373.30632
2022-08-29 15:00:00,2022-08-29 15:00:00,1832284983.8515
2022-08-29 16:00:00,2022-08-29 16:00:00,1851393172.33877
2022-08-29 17:00:00,2022-08-29 17:00:00,1865663193.17325
2022-08-29 18:00:00,2022-08-29 18:00:00,1872747044.0676
2022-08-29 19:00:00,2022-08-29 19:00:00,1877146101.91976
2022-08-29 20:00:00,2022-08-29 20:00:00,1873752959.97406
2022-08-29 21:00:00,2022-08-29 21:00:00,1881422116.90858
2022-08-29 22:00:00,2022-08-29 22:00:00,1881194817.07496
2022-08-29 23:00:00,2022-08-29 23:00:00,1879934906.80013
2022-08-30 00:00:00,2022-08-30 00:00:00,1878943323.11425
2022-08-30 01:00:00,2022-08-30 01:00:00,1859867993.94768
2022-08-30 02:00:00,2022-08-30 02:00:00,1873984738.3294995
2022-08-30 03:00:00,2022-08-30 03:00:00,1881912702.46602
2022-08-30 04:00:00,2022-08-30 04:00:00,1921272614.206
