o,h,l,t,c,open,close,high,volume,low
0.039624,0.059098,0.025348,1611964800,0.058473,34267.04,34289.85,34988.88,267861.872,32849.06
0.055157,0.055157,0.015692,1612051200,0.015692,34284.76,33126.21,34393.22,211293.891,32193.04
0.013827,0.072212,0.013827,1612137600,0.038449,33125.11,33546.09,34720.0,240632.325,32322.47
0.036844,0.135958,0.036844,1612224000,0.08427,33546.08,35504.06,36041.0,239856.23,33450.0
0.077471,0.10581,0.026763,1612310400,0.026763,35504.07,37652.51,37700.0,240308.078,35410.0
0.02899,0.101789,0.02899,1612396800,0.054032,37651.92,36976.93,38833.0,306715.022,36233.0
0.056552,0.105115,0.032935,1612483200,0.032935,36975.19,38362.65,38411.82,196277.444,36586.68
0.034782,0.158015,0.034782,1612569600,0.158015,38357.17,39249.54,40992.4,310826.315,38269.0
0.15578,0.15578,0.060013,1612656000,0.065491,39249.53,38849.25,39757.87,296721.925,37403.27
0.059327,0.258663,0.057955,1612742400,0.138871,38849.24,46451.32,47146.0,440167.093,38037.0
0.131401,0.273538,0.129088,1612828800,0.129088,46451.32,46492.54,48266.36,381477.426,45057.65
0.124313,0.241701,0.079522,1612915200,0.079522,46492.53,44850.0,47475.0,334979.017,43770.0
0.07686,0.193386,0.076305,1613001600,0.138335,44850.0,48060.21,48810.0,330540.045,44038.97
0.128893,0.156617,0.105852,1613088000,0.136212,48060.21,47361.03,49278.98,259186.288,46121.0
0.140241,0.17443,0.073876,1613174400,0.081089,47364.0,47221.62,48290.0,199965.397,46252.1
0.085014,0.162715,0.085014,1613260800,0.124282,47221.63,48655.21,49875.16,241935.666,47093.16
0.117978,0.117978,0.037104,1613347200,0.098405,48655.21,47981.58,49100.0,248960.404,45349.21
0.099584,0.156661,0.094208,1613433600,0.105619,47981.6,49197.94,50953.44,343592.011,47101.02
0.104137,0.147248,0.093526,1613520000,0.135304,49197.93,52194.62,52800.0,312007.458,49029.62
0.132396,0.163985,0.093851,1613606400,0.093851,52194.62,51619.7,52640.0,185489.89,50948.0
0.091381,0.164993,0.084417,1613692800,0.164993,51612.46,56004.1,56582.0,257911.872,50800.0
0.15652,0.15652,0.106405,1613779200,0.106405,56005.85,55917.41,57699.0,240296.308,53905.0
0.100581,0.135979,0.099112,1613865600,0.129917,55908.45,57487.43,58472.14,196820.573,55564.5
0.11727,0.117584,0.029128,1613952000,0.029128,57475.5,54121.1,57591.87,480660.187,47751.42
0.025048,0.051997,0.01,1614038400,0.01,54125.55,48930.0,54260.12,748737.462,44893.82
0.01,0.05891,0.01,1614124800,0.026677,48930.01,49702.03,51435.58,333415.219,47000.0
0.0178,0.0343,0.01,1614211200,0.011224,49702.05,47089.37,52134.96,349943.016,46685.43
0.01,0.033521,0.01,1614297600,0.033521,47087.97,46313.13,48438.01,440670.32,44100.0
0.030285,0.056992,0.01,1614384000,0.01,46313.12,46102.63,48476.05,256027.074,44926.77
0.01,0.039855,0.01,1614470400,0.020939,46097.09,45163.36,46678.0,370358.825,43002.05
0.016973,0.016973,0.01,1614556800,0.01,45162.64,49592.7,49800.0,315659.931,44972.49
0.01,0.060005,0.01,1614643200,0.01,49594.99,48450.57,50221.77,273100.435,47058.06
0.01,0.046082,0.01,1614729600,0.01,48454.21,50373.75,52681.51,350311.234,48110.66
0.01,0.01,0.01,1614816000,0.01,50373.75,48385.77,51800.0,387428.957,47500.0
0.01,0.01,0.01,1614902400,0.01,48385.77,48770.57,49470.0,354602.756,46320.0
0.01,0.01,0.01,1614988800,0.01,48772.68,48908.21,49253.63,215092.91,47090.0
0.01,0.018806,0.01,1615075200,0.011082,48908.21,50995.27,51480.0,248398.116,48908.21
0.01,0.065379,0.01,1615161600,0.065379,50991.35,52429.43,52450.0,308339.866,49310.0
0.072398,0.074119,0.027537,1615248000,0.027537,52429.43,54917.78,54950.0,285604.798,51880.0
0.024355,0.088031,0.024355,1615334400,0.088031,54917.78,55947.98,57500.92,401159.493,53061.0
0.095845,0.111738,0.080177,1615420800,0.10303,55949.3,57844.52,58283.0,364681.318,54356.44
0.102098,0.102098,0.043877,1615507200,0.043877,57842.64,57291.03,58186.33,335495.042,55074.3
0.047802,0.099771,0.028985,1615593600,0.083283,57291.04,61267.41,61950.0,320322.173,56136.0
0.081928,0.127629,0.071368,1615680000,0.087216,61267.41,59037.12,61798.0,231991.901,59005.0
0.082219,0.120881,0.013727,1615766400,0.018805,59037.11,55646.61,60740.0,448820.83,54517.28
0.022699,0.048016,0.020575,1615852800,0.040885,55646.61,56954.19,56988.0,339718.202,53335.0
0.035358,0.035358,0.017037,1615939200,0.025746,56953.23,58959.0,59078.79,339397.712,54154.93
0.030213,0.05027,0.023628,1616025600,0.033479,58959.01,57700.01,60510.0,305100.026,57072.0
0.03199,0.045461,0.01,1616112000,0.045461,57700.01,58089.11,59550.0,259039.479,56301.27
0.049248,0.078333,0.035719,1616198400,0.036024,58089.11,58145.61,59948.0,203680.149,57881.0
0.031351,0.045601,0.01,1616284800,0.045601,58144.44,57415.18,58638.7,237518.696,55403.55
