start_time,long_liquidation_usd,short_liquidation_usd,time
2022-09-17,1719260.28374,2403089.22072,1663372800000
2022-09-18,4729847.05718,1529636.13653,1663459200000
2022-09-19,5131781.03461,5472141.84957,1663545600000
2022-09-20,5451282.60616,2866657.64195,1663632000000
2022-09-21,6043593.04432,5637081.41718,1663718400000
2022-09-22,3753661.59066,8053808.63332,1663804800000
2022-09-23,6305852.96816,5746145.06406,1663891200000
2022-09-24,3645471.83608,1553733.9858,1663977600000
2022-09-25,1971355.05869,1587817.50409,1664064000000
2022-09-26,3789748.21992,3682018.55449,1664150400000
2022-09-27,8200714.96285,5561177.83326,1664236800000
2022-09-28,6741263.97937,6501757.49043,1664323200000
2022-09-29,5028098.62028,4508940.02148,1664409600000
2022-09-30,4881624.47299,3482192.17555,1664496000000
2022-10-01,814490.41781,391806.01795,1664582400000
2022-10-02,2183214.73349,1662137.68249,1664668800000
2022-10-03,1433716.7074,4543449.95269,1664755200000
2022-10-04,3905081.75615,3819094.99958,1664841600000
2022-10-05,2902386.04331,2870401.46288,1664928000000
2022-10-06,2320801.51071,2385953.99725,1665014400000
2022-10-07,3765416.85538,1652597.56011,1665100800000
2022-10-08,1092121.99315,717343.89,1665187200000
2022-10-09,350360.63867,464217.68444,1665273600000
2022-10-10,3911406.53654,1639816.40792,1665360000000
2022-10-11,3018703.38915,1674131.90483,1665446400000
2022-10-12,321284.74031,1140405.58026,1665532800000
2022-10-13,4777741.97559,4313166.96382,1665619200000
2022-10-14,4387939.50067,3489570.35771,1665705600000
2022-10-15,706032.05509,507730.4449,1665792000000
2022-10-16,1151489.59146,1222454.6244,1665878400000
2022-10-17,905462.91767,1452910.32899,1665964800000
2022-10-18,2752564.66202,2184027.88657,1666051200000
2022-10-19,1988656.10445,706093.51212,1666137600000
2022-10-20,2725084.39868,1693525.98843,1666224000000
2022-10-21,1809686.36805,2220971.54906,1666310400000
2022-10-22,525815.99086,434783.65024,1666396800000
2022-10-23,554609.4441,3354015.69386,1666483200000
2022-10-24,1281494.17399,2307385.01922,1666569600000
2022-10-25,2215670.19912,5565981.25593,1666656000000
2022-10-26,3403975.54234,3072679.7697,1666742400000
2022-10-27,3483552.57489,2574883.71335,1666828800000
2022-10-28,3225887.14641,2358018.15107,1666915200000
2022-10-29,2625002.17243,6040366.83234,1667001600000
2022-10-30,2019518.16835,1742802.86668,1667088000000
2022-10-31,2422047.36596,2284752.16021,1667174400000
2022-11-01,1181542.60447,1136230.91718,1667260800000
2022-11-02,4005836.06049,2441103.66026,1667347200000
2022-11-03,3579205.61959,1449728.30537,1667433600000
2022-11-04,2302912.19622,6323055.29409,1667520000000
2022-11-05,1133567.18686,2145311.03854,1667606400000
2022-11-06,4082242.68591,464833.3508,1667692800000
2022-11-07,6113353.39777,1167300.16551,1667779200000
2022-11-08,25213372.4477,12083214.71634,1667865600000
2022-11-09,23042526.70896,12366323.42691,1667952000000
2022-11-10,9869855.21331,18187865.62908,1668038400000
2022-11-11,6083563.35847,6942427.33934,1668124800000
2022-11-12,2433805.12291,1054268.90043,1668211200000
2022-11-13,2654677.9101,1386672.1917,1668297600000
2022-11-14,5981639.00132,4781242.92541,1668384000000
2022-11-15,3669763.64331,2978901.41054,1668470400000
2022-11-16,2556621.69492,1971301.00235,1668556800000
2022-11-17,2383951.8829,1442601.85351,1668643200000
2022-11-18,1396244.7746,1148888.2348,1668729600000
2022-11-19,772662.55629,578759.14516,1668816000000
2022-11-20,2237016.13866,856921.7043,1668902400000
2022-11-21,3281419.04235,3856189.09745,1668988800000
2022-11-22,2216794.95935,2787824.36094,1669075200000
2022-11-23,2466925.53506,3195303.67586,1669161600000
2022-11-24,1348089.66288,1104818.17348,1669248000000
2022-11-25,1189948.87046,741295.9577,1669334400000
2022-11-26,795086.56562,727912.20751,1669420800000
2022-11-27,490964.65027,659198.39564,1669507200000
2022-11-28,3757964.12739,2513260.98791,1669593600000
2022-11-29,645079.70959,1842844.99821,1669680000000
2022-11-30,1549817.62567,3170602.80828,1669766400000
2022-12-01,1406188.80585,627063.00357,1669852800000
2022-12-02,1166724.51406,1731087.59996,1669939200000
2022-12-03,1313083.55227,169072.49784,1670025600000
2022-12-04,493315.96107,1166132.28497,1670112000000
2022-12-05,1637486.41169,1663916.70224,1670198400000
2022-12-06,1088867.10028,791935.54907,1670284800000
2022-12-07,1182605.29634,493978.12731,1670371200000
2022-12-08,1034338.80721,1555876.8756,1670457600000
2022-12-09,441455.09621,527407.68015,1670544000000
2022-12-10,182523.1147,66224.53102,1670630400000
2022-12-11,1172963.34199,260403.26592,1670716800000
2022-12-12,1378541.97329,1767108.43003,1670803200000
2022-12-13,1908809.28398,9111020.28616,1670889600000
2022-12-14,1779456.06896,2741456.18521,1670976000000
2022-12-15,2044716.1101,527502.13743,1671062400000
2022-12-16,4751535.92574,1195155.44223,1671148800000
2022-12-17,595256.85456,1488036.79581,1671235200000
2022-12-18,672749.81957,1038545.06484,1671321600000
2022-12-19,2551811.69602,513153.50605,1671408000000
2022-12-20,808660.68769,1972946.31011,1671494400000
2022-12-21,981827.35476,189855.32429,1671580800000
2022-12-22,760378.92251,689976.52111,1671667200000
2022-12-23,647985.46515,727497.8779,1671753600000
2022-12-24,285.94728,60877.2208,1671840000000
2022-12-25,225796.17406,355673.47388,1671926400000
2022-12-26,200813.5314,765261.48128,1672012800000
2022-12-27,731142.02049,504796.50925,1672099200000
2022-12-28,1611614.00324,616319.23225,1672185600000
2022-12-29,1751132.13522,456136.68221,1672272000000
2022-12-30,614228.23195,603009.03066,1672358400000
2022-12-31,412195.70506,372011.7605,1672444800000
2023-01-01,43312.23488,274726.3593,1672531200000
2023-01-02,364504.39332,1462672.2698,1672617600000
2023-01-03,656198.0279,372521.02364,1672704000000
2023-01-04,596147.39754,2571795.00107,1672790400000
2023-01-05,111107.79987,414768.56399,1672876800000
2023-01-06,849226.92083,2272051.24297,1672963200000
2023-01-07,23001.46513,107725.83115,1673049600000
2023-01-08,690489.56443,2346049.58037,1673136000000
2023-01-09,1536813.13605,4808273.19338,1673222400000
2023-01-10,327594.9889,2313085.1066,1673308800000
2023-01-11,692666.76203,4043010.39668,1673395200000
2023-01-12,4395496.13973,6354721.25287,1673481600000
2023-01-13,2508252.17748,7963705.12518,1673568000000
2023-01-14,6499734.14621,15136990.24432,1673654400000
2023-01-15,2425891.61923,2406604.62812,1673740800000
2023-01-16,3137605.91716,3795771.8693,1673827200000
2023-01-17,3871942.94507,2989862.98246,1673913600000
2023-01-18,5198078.28313,4551322.09579,1674000000000
2023-01-19,1269079.7714,3171757.54131,1674086400000
2023-01-20,1701642.38043,7025551.51967,1674172800000
2023-01-21,3429666.3712,5091275.84974,1674259200000
2023-01-22,2430503.75281,4157830.37603,1674345600000
2023-01-23,1688679.15173,4800623.74291,1674432000000
2023-01-24,4789767.40313,2290938.3865,1674518400000
2023-01-25,3187215.25101,8087890.029,1674604800000
2023-01-26,1922839.25714,2412493.78642,1674691200000
2023-01-27,2714945.32665,3338339.7184,1674777600000
2023-01-28,1058879.74248,436170.88682,1674864000000
2023-01-29,1183863.46055,6231388.19359,1674950400000
2023-01-30,5062912.56913,2442000.85852,1675036800000
2023-01-31,1827199.88735,2350455.60026,1675123200000
