t,l,h,o,c,high,low,open,close,volume
1633824000,50988.62,52815.72,50988.62,51667.94,56789.0,54101.0,54960.79,54700.0,289072.818
1633910400,51395.04,54657.11,52509.22,54545.81,57880.0,54458.0,54700.0,57500.01,314868.05
1633996800,51928.67,55432.26,54294.54,52065.15,57756.52,53750.0,57500.01,56011.84,349147.775
1634083200,48396.39,52649.16,51250.25,48844.47,57822.38,54271.24,56011.83,57393.65,327714.318
1634169600,48767.28,51176.23,48767.28,50399.27,58586.67,56800.0,57393.65,57378.19,254719.751
1634256000,50306.01,55399.26,50462.43,53145.58,63997.61,56900.0,57377.12,61702.33,493366.513
1634342400,52056.59,54685.2,52841.69,54258.73,62444.23,60220.0,61702.33,60925.56,213251.899
1634428800,53323.95,56003.18,54166.95,53323.95,61796.47,58850.0,60925.56,61571.45,240132.514
1634515200,51737.07,54486.17,53226.06,51800.03,62800.0,59897.61,61571.45,62037.92,333278.481
1634601600,51728.67,55661.33,51778.17,55415.63,64500.0,61300.0,62037.92,64316.7,379243.718
1634688000,55250.64,57034.55,55541.36,57034.55,67150.0,63518.81,64314.75,66064.24,324737.868
1634774400,54323.15,57817.21,56970.43,54540.12,66750.0,62000.0,66064.25,62260.33,478610.458
1634860800,54787.94,56293.54,55172.59,56293.54,63796.2,60011.9,62260.33,60734.27,350359.527
1634947200,54136.77,57565.01,55896.4,56148.58,61780.0,59622.0,60734.28,61325.11,222553.478
