start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-12 08:00:00,2021-01-12 08:00:00,743922.10710716,0.04809927
2021-01-12 09:00:00,2021-01-12 09:00:00,371962.05355358,0.09650887
2021-01-12 10:00:00,2021-01-12 10:00:00,743925.10710716,0.04715275
2021-01-12 11:00:00,2021-01-12 11:00:00,595141.08568573,0.05948266
2021-01-12 12:00:00,2021-01-12 12:00:00,595142.08568573,0.05881128
2021-01-12 13:00:00,2021-01-12 13:00:00,595143.08568573,0.05588122
2021-01-12 14:00:00,2021-01-12 14:00:00,425103.20406123,0.07862655
2021-01-12 15:00:00,2021-01-12 15:00:00,371966.30355358,0.09100668
2021-01-12 16:00:00,2021-01-12 16:00:00,595147.08568573,0.05880647
2021-01-12 17:00:00,2021-01-12 17:00:00,425106.06120409,0.08235178
2021-01-12 18:00:00,2021-01-12 18:00:00,991915.14280955,0.03529532
2021-01-12 19:00:00,2021-01-12 19:00:00,991916.14280955,0.03494744
2021-01-12 20:00:00,2021-01-12 20:00:00,595150.68568573,0.05765753
2021-01-12 21:00:00,2021-01-12 21:00:00,425108.63263266,0.08166119
2021-01-12 22:00:00,2021-01-12 22:00:00,371971.05355358,0.09084561
2021-01-12 23:00:00,2021-01-12 23:00:00,425110.77548981,0.08013356
2021-01-13 00:00:00,2021-01-13 00:00:00,495963.57140477,0.06550534
2021-01-13 01:00:00,2021-01-13 01:00:00,743946.35710716,0.04450409
2021-01-13 02:00:00,2021-01-13 02:00:00,371974.17855358,0.08873223
2021-01-13 03:00:00,2021-01-13 03:00:00,743949.35710716,0.04541372
2021-01-13 04:00:00,2021-01-13 04:00:00,371975.67855358,0.08916286
2021-01-13 05:00:00,2021-01-13 05:00:00,595162.08568573,0.05605955
2021-01-13 06:00:00,2021-01-13 06:00:00,425116.77548981,0.0794383
2021-01-13 07:00:00,2021-01-13 07:00:00,297582.74284286,0.11765861
2021-01-13 08:00:00,2021-01-13 08:00:00,743957.85710716,0.04638724
2021-01-13 09:00:00,2021-01-13 09:00:00,425119.77548981,0.08085072
2021-01-13 10:00:00,2021-01-13 10:00:00,330649.71426985,0.10561189
2021-01-13 11:00:00,2021-01-13 11:00:00,743962.85710716,0.04624014
2021-01-13 12:00:00,2021-01-13 12:00:00,595171.28568573,0.05761476
2021-01-13 13:00:00,2021-01-13 13:00:00,743965.10710716,0.04647998
2021-01-13 14:00:00,2021-01-13 14:00:00,270533.76622079,0.12664132
2021-01-13 15:00:00,2021-01-13 15:00:00,425125.48977552,0.08152146
2021-01-13 16:00:00,2021-01-13 16:00:00,595176.68568573,0.0584119
2021-01-13 17:00:00,2021-01-13 17:00:00,228915.10987913,0.15209471
2021-01-13 18:00:00,2021-01-13 18:00:00,425129.06120409,0.08411146
2021-01-13 19:00:00,2021-01-13 19:00:00,495984.90473811,0.07258557
2021-01-13 20:00:00,2021-01-13 20:00:00,743978.35710716,0.04870784
2021-01-13 21:00:00,2021-01-13 21:00:00,595183.68568573,0.06264169
2021-01-13 22:00:00,2021-01-13 22:00:00,1487960.21421432,0.02499835
2021-01-13 23:00:00,2021-01-13 23:00:00,425132.48977552,0.08789146
2021-01-14 00:00:00,2021-01-14 00:00:00,425133.48977552,0.08882442
2021-01-14 01:00:00,2021-01-14 01:00:00,595187.88568573,0.06289081
2021-01-14 02:00:00,2021-01-14 02:00:00,270540.94803897,0.13831277
2021-01-14 03:00:00,2021-01-14 03:00:00,495992.73807144,0.07461622
2021-01-14 04:00:00,2021-01-14 04:00:00,371995.55355358,0.10071532
2021-01-14 05:00:00,2021-01-14 05:00:00,425138.77548981,0.08824717
2021-01-14 06:00:00,2021-01-14 06:00:00,425139.77548981,0.08904201
2021-01-14 07:00:00,2021-01-14 07:00:00,595196.68568573,0.06427436
2021-01-14 08:00:00,2021-01-14 08:00:00,595197.68568573,0.06450606
2021-01-14 09:00:00,2021-01-14 09:00:00,425142.20406123,0.08922612
2021-01-14 10:00:00,2021-01-14 10:00:00,372000.42855358,0.1034852
2021-01-14 11:00:00,2021-01-14 11:00:00,1488002.71421432,0.02578618
2021-01-14 12:00:00,2021-01-14 12:00:00,595202.08568573,0.06429554
2021-01-14 13:00:00,2021-01-14 13:00:00,496002.73807144,0.07862374
2021-01-14 14:00:00,2021-01-14 14:00:00,425146.20406123,0.09310463
2021-01-14 15:00:00,2021-01-14 15:00:00,496004.90473811,0.0796851
2021-01-14 16:00:00,2021-01-14 16:00:00,992010.80947621,0.03956926
2021-01-14 17:00:00,2021-01-14 17:00:00,595207.48568573,0.06619848
2021-01-14 18:00:00,2021-01-14 18:00:00,372005.67855358,0.10567737
2021-01-14 19:00:00,2021-01-14 19:00:00,744012.35710716,0.05356667
2021-01-14 20:00:00,2021-01-14 20:00:00,425150.91834695,0.09245625
2021-01-14 21:00:00,2021-01-14 21:00:00,425151.91834695,0.09114018
2021-01-14 22:00:00,2021-01-14 22:00:00,744016.85710716,0.0523341
2021-01-14 23:00:00,2021-01-14 23:00:00,425153.48977552,0.09198636
2021-01-15 00:00:00,2021-01-15 00:00:00,496013.40473811,0.07946067
2021-01-15 01:00:00,2021-01-15 01:00:00,595217.08568573,0.06573352
2021-01-15 02:00:00,2021-01-15 02:00:00,372011.67855358,0.10545743
2021-01-15 03:00:00,2021-01-15 03:00:00,496016.57140477,0.07794748
2021-01-15 04:00:00,2021-01-15 04:00:00,496017.57140477,0.07743218
2021-01-15 05:00:00,2021-01-15 05:00:00,496018.57140477,0.07619863
2021-01-15 06:00:00,2021-01-15 06:00:00,297612.14284286,0.12764131
2021-01-15 07:00:00,2021-01-15 07:00:00,425161.20406123,0.0904132
2021-01-15 08:00:00,2021-01-15 08:00:00,744033.10710716,0.05135177
2021-01-15 09:00:00,2021-01-15 09:00:00,496023.07140477,0.07789365
2021-01-15 10:00:00,2021-01-15 10:00:00,992047.14280955,0.03871208
2021-01-15 11:00:00,2021-01-15 11:00:00,425164.06120409,0.08958103
2021-01-15 12:00:00,2021-01-15 12:00:00,1488075.21421432,0.02536252
2021-01-15 13:00:00,2021-01-15 13:00:00,744038.60710716,0.05059095
2021-01-15 14:00:00,2021-01-15 14:00:00,248013.86903572,0.14874945
2021-01-15 15:00:00,2021-01-15 15:00:00,496028.73807144,0.07168924
2021-01-15 16:00:00,2021-01-15 16:00:00,425168.48977552,0.08503674
