longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
0.93,51.9,1657065600,48.1,19753.0,20667.6,20170.1,682076.458,20554.1
0.92,52.18,1657152000,47.82,20244.9,21830.0,20554.2,699841.616,21613.4
0.65,60.68,1657238400,39.32,21175.2,22579.9,21614.5,848144.495,21587.9
0.81,55.35,1657324800,44.65,21309.6,22000.0,21587.8,393372.366,21580.0
0.97,50.72,1657411200,49.28,20600.0,21594.2,21580.0,468176.539,20853.8
1.27,44.09,1657497600,55.91,19870.0,20853.9,20853.8,561245.987,19954.3
1.44,40.91,1657584000,59.09,19228.3,20048.9,19954.3,640560.723,19322.9
1.61,38.27,1657670400,61.73,18901.0,20401.6,19322.9,975938.165,20220.1
1.33,42.93,1657756800,57.07,19600.0,20900.0,20220.1,765989.53,20578.6
1.01,49.88,1657843200,50.12,20364.3,21200.0,20578.6,626763.692,20823.1
0.86,53.88,1657929600,46.12,20471.0,21580.0,20823.1,539206.87,21183.5
0.82,54.82,1658016000,45.18,20742.0,21674.1,21183.6,485537.728,20794.4
0.86,53.85,1658102400,46.15,20764.4,22800.0,20794.4,982867.734,22423.9
0.94,51.68,1658188800,48.32,21575.0,23817.9,22423.5,1124029.082,23385.9
0.65,60.77,1658275200,39.23,22912.4,24277.0,23385.9,946647.815,23221.5
0.82,54.92,1658361600,45.08,22340.2,23441.1,23221.5,723543.466,23144.5
0.96,51.05,1658448000,48.95,22500.0,23750.0,23144.5,633907.934,22675.1
1.12,47.19,1658534400,52.81,21933.5,22990.0,22675.0,505887.673,22440.2
1.23,44.78,1658620800,55.22,22256.4,22999.0,22440.1,462958.953,22570.6
1.05,48.83,1658707200,51.17,21232.0,22656.8,22570.6,695770.655,21300.0
1.53,39.52,1658793600,60.48,20689.6,21334.4,21300.0,552498.903,21241.0
1.5,40.06,1658880000,59.94,21031.0,23100.0,21241.0,753370.303,22941.1
0.87,53.44,1658966400,46.56,22583.1,24194.6,22941.1,756741.836,23836.2
0.74,57.41,1659052800,42.59,23426.3,24500.0,23836.2,642337.051,23771.1
0.71,58.47,1659139200,41.53,23505.0,24700.0,23771.0,493824.816,23629.9
0.77,56.37,1659225600,43.63,23222.0,24187.3,23630.0,385969.85,23290.1
0.91,52.36,1659312000,47.64,22836.2,23497.0,23290.1,498378.292,23257.6
1.0,49.99,1659398400,50.01,22603.0,23448.7,23257.6,625227.912,22975.1
1.17,46.14,1659484800,53.86,22665.3,23650.0,22975.1,569261.768,22801.5
1.33,42.89,1659571200,57.11,22370.0,23211.3,22801.5,548268.816,22608.9
1.71,36.85,1659657600,63.15,22580.6,23450.0,22608.9,593992.13,23298.1
1.29,43.66,1659744000,56.34,22883.6,23341.8,23298.0,227659.394,22943.3
1.38,42.07,1659830400,57.93,22830.9,23400.0,22943.2,271512.062,23167.8
1.35,42.58,1659916800,57.42,23153.1,24243.0,23167.9,565084.219,23804.4
1.02,49.52,1660003200,50.48,22850.0,23913.4,23804.3,498286.943,23140.2
2.08,32.49,1660089600,67.51,22608.0,24235.2,23140.1,760738.204,23940.9
1.19,45.7,1660176000,54.3,23840.6,24972.0,23941.0,760455.245,23917.2
1.12,47.19,1660262400,52.81,23560.0,24438.8,23917.3,477734.045,24387.5
1.23,44.94,1660348800,55.06,24267.5,24879.0,24387.5,431093.659,24429.0
0.93,51.8,1660435200,48.2,24138.0,25065.0,24429.0,437314.32,24294.1
1.23,44.94,1660521600,55.06,23762.0,25200.0,24294.1,739390.721,24085.2
1.58,38.77,1660608000,61.23,23650.0,24234.0,24085.2,460919.994,23843.0
1.84,35.25,1660694400,64.75,23170.0,24437.0,23843.0,640600.903,23333.1
2.28,30.5,1660780800,69.5,23101.0,23595.0,23333.1,347699.006,23185.1
1.99,33.41,1660867200,66.59,20760.0,23200.0,23185.0,906609.825,20824.9
2.01,33.21,1660953600,66.79,20742.9,21368.9,20825.0,490507.042,21127.8
2.17,31.55,1661040000,68.45,21055.0,21804.6,21127.7,424282.424,21505.6
2.04,32.91,1661126400,67.09,20858.6,21550.0,21505.6,588764.597,21387.0
2.15,31.74,1661212800,68.26,20874.8,21667.2,21387.0,609745.27,21518.2
2.15,31.74,1661299200,68.26,21132.3,21925.6,21518.2,502728.198,21354.9
